word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
personas,+,literal,-,alba,delectable,telltale,excitement,incorporates
180,+,britta,-,staffers,1539,yames,53,schmoke
conversely,+,bir,-,integrals,texture,dutton,bligh,augustus
rokuemon,+,dauphiné,-,malevolence,townsville,1905,giovanni,dukes
cartesian,+,closest,-,snowfall,melt,jurisdiction,simplest,magdalene
speedily,+,thaw,-,repudiate,suggs,qantas,cobi,loeb
stat,+,salamina,-,killer,barque,1849,minardi,ilc
referee,+,№,-,teetering,hercules,horsepower,betaine,cato
rationalism,+,rugrats,-,bering,blinded,topical,heroin,puzzlejuice
wabash,+,reside,-,yoshinori,'cie,napa,ghettos,killings
scarcely,+,governs,-,munch,mashonaland,detectable,commemorates,inspected
manning,+,choirmaster,-,fallow,falsely,rajaonarimampianina,jury,slapping
reminding,+,brees,-,reacquired,toned,mikami,ratnakaravarni,intolerance
borgsen,+,eyesore,-,jovian,valery,bloodworth,ulna,rymdkapsel
haldane,+,theropod,-,purges,duplications,elizondo,adolfo,juárez
morihei,+,cuff,-,videos,amorous,intergroup,lomonosov,kotche
duress,+,alderton,-,jobs,chaak,beale,desbarats,khrushchev
sharingan,+,communicate,-,tilt,withoos,evaluating,friendships,regard
anorexia,+,thighs,-,xn,alumnus,mzilikazi,ranchers,bintang
nerves,+,skyline,-,tipped,sao,acquiesced,motions,viability
wallpaper,+,deactivation,-,dorn,burmese,scuffle,wolfpack,blockading
impair,+,bühlmann,-,consciously,'anse,toxicity,votes,scriptural
tattooed,+,graces,-,chbosky,ushio,cinder,crawled,invulnerability
corresponded,+,warwickshire,-,esher,equally,magelang,collaborate,facsimiles
cassettes,+,designates,-,canid,rockman,tallying,upsets,warspite
ingleside,+,1988,-,melkebeke,montcalm,streatham,1212,1669
sele,+,leonidas,-,fingerprint,wyck,grenville,uwf,angie
tonight,+,1749,-,indefatigable,friar,tinkoff,tentative,ydll
alexandre,+,costume,-,308,abide,pirated,techno,coyotes
vasa,+,melaleucus,-,mates,advisable,kingswood,elmes,meileyingensis
wickham,+,mlk,-,dung,purre,mujer,ml,rem
delves,+,ackles,-,plagiarized,conservatism,inferno,shires,frazier
lexicon,+,vaccination,-,fond,modelling,eschatology,aztecs,carotenoids
osteopath,+,intrinsically,-,checkpoint,nuñez,silly,inspirational,optional
hewn,+,disappointment,-,fraud,walther,transmissions,dowdy,spilled
risks,+,vermin,-,rejuvenated,sunnydale,masses,als,decentralization
skeptics,+,michael,-,biologically,imogen,bramwell,jones,schaack
hanged,+,workings,-,il,overthrow,wrecks,sceptical,pounders
coil,+,2022,-,liquefied,argonne,mackerras,eorzea,toulon
cookies,+,boast,-,gurion,casemated,ironic,outbreaks,tok
magnified,+,croatan,-,arjun,lensing,feodosiya,sewerage,zooplankton
showdown,+,chambersburg,-,scholar,extinguished,1666,1520,1512
maghreb,+,voluntarily,-,gp,foresight,sortied,ltcm,overpower
chanology,+,saturninus,-,mcru,737s,precautions,swindon,interpretations
administrators,+,mozambique,-,nationalized,humanities,shelters,peru,baden
laid,+,shapley,-,titian,pixar,sent,peeled,humorously
unifying,+,dazzling,-,nutritional,mussolini,thoughtful,kimmy,portal
slaveholders,+,iyad,-,informs,toofer,restored,rasmussen,coincidental
salvo,+,thoroughfare,-,cheapside,universes,acknowledgment,satisfies,creates
boca,+,remixing,-,preshield,sucking,boltzmann,blu,blonde
gradual,+,summarised,-,366,carnegie,anticipates,crutch,graded
dunder,+,rethymno,-,news,113th,eshmun,leccinum,appreciative
proclaimed,+,imbued,-,sedentary,float,sided,impressed,contrasted
tyburn,+,reading,-,faa,sarawak,akron,enrolling,reculver
cauchy,+,ridiculousness,-,decentralized,lamina,epoch,formulation,initials
embarrassment,+,swampy,-,lancet,pacification,intersex,verdi,logic
1677,+,gwynedd,-,memel,consultations,isabel,tajiri,boycotts
sprague,+,chanology,-,rump,palps,alpe,nifty,prof.
disappointingly,+,irony,-,benedict,jealousy,sideways,myeloblast,parthians
fringes,+,labrosaurus,-,ursula,timelines,eucharist,syringe,brink
katz,+,gonzalez,-,dakota,cecil,goldberg,crosby,lavezzoli
discharging,+,motif,-,spades,89a,spektor,premio,reflects
methode,+,steroids,-,hamra,jyoti,nuskhuri,reminding,ethan
gsc,+,almeida,-,inhabitation,rafi,aleister,orifice,oda
sheridan,+,1332,-,faceted,matheos,guerin,memoriam,heliopolis
backbencher,+,wirraways,-,wica,brooches,evacuating,twisted,dunning
tees,+,petar,-,producer,dans,murdishaw,colder,bae
melvins,+,plutonium,-,tilman,milton,subduction,valour,perjury
implosion,+,lighthearted,-,conceding,trash,futuristic,sympathetic,summons
braid,+,fitzjohn,-,seymour,438,linga,flashback,lakewood
folios,+,enough,-,folie,regurgitated,money,sufficiently,permitted
monique,+,lyttelton,-,1207,gienke,symbionts,internazionali,besides
caldecott,+,dignities,-,restraining,cortland,tammany,hypnosis,shinawatra
mortars,+,detect,-,radek,berman,efficiently,freely,nationalisation
subfamily,+,tees,-,510,wily,mosque,127th,académie
nullify,+,suppose,-,leaflets,ashamed,wish,satirizes,juicy
isin,+,reddy,-,b.i.g,staccato,minas,unyielding,catalyst
flange,+,farmers,-,region,joking,linguistically,vibrant,detrimental
prudhoe,+,dawson,-,sangatya,buyer,stephens,henderson,claude
ganguly,+,huehuetenango,-,line,wishbone,bricius,bartram,merritt
may,+,brainerd,-,thistle,waronker,might,might,pumas
ukrainian,+,transmitting,-,í,swinging,subscriptions,mossad,onondaga
edict,+,seats,-,weakest,mpg,zeros,balls,stanzas
desire,+,aruba,-,1761,neaira,gusteau,manetho,proposals
paradox,+,truths,-,requiring,discerning,wording,behaviors,ecosystems
willie,+,reminder,-,spindle,entities,critique,prophecy,true
madder,+,libel,-,undisturbed,barrister,haji,español,thin
visas,+,theseus,-,enabled,elegance,beaty,bulgaria,stax
affinity,+,iajr,-,milligan,businessmen,reactivity,registers,moralitas
presumptive,+,number,-,bootx,voiceless,czechoslovak,conceded,forks
salvaged,+,pine,-,tomahawk,navigate,impounded,occupied,overestimated
108,+,mukerji,-,gills,malacca,843,esteban,600
palmyra,+,yajurveda,-,bellingham,leeward,beige,trusting,synthetic
ηε,+,vena,-,surveillance,tangier,kavi,gutierrez,bendis
molecule,+,sidhu,-,granary,administrations,eared,cookbook,beneath
sugarcane,+,shipment,-,sea,batch,285,mockumentary,bereft
aligned,+,masquerade,-,premature,doomed,mellotron,nissan,coincides
awakens,+,informers,-,defendant,noongar,cheese,ludacris,esteban
portraits,+,particulier,-,recently,ratzenberger,instigator,disassembly,critique
harker,+,167,-,jynx,algonquin,fletcher,dlussky,452
militaries,+,chinatown,-,exposition,norie,mozambique,schiavone,cathedrals
dravidar,+,voldemort,-,cobi,felled,yamaguchi,eyewitnesses,benefits
whipray,+,seydlitz,-,tackler,pomici,aron,katherine,toi
variolation,+,believer,-,narayan,unconstitutional,dogfight,1071,1591
eurovision,+,emerson,-,626,crunch,deemed,chinlund,spiderlings
enslavement,+,bel,-,georg,boku,bramber,stocks,cadre
minigame,+,paraphernalia,-,feasible,erzherzog,symphonic,doctrines,aria
lightest,+,potent,-,gained,reamer,lyrae,keetbaas,watery
observing,+,waterways,-,malfunctioning,contended,magnetization,gazes,voices
cautious,+,applause,-,ramparts,xii,anybody,tens,sophisticated
biscay,+,chennselaig,-,kris,universalist,chesapeake,duchy,cessation
guitars,+,civilisation,-,arenas,duchess,plagiarism,jaundice,elisa
texans,+,lindisfarne,-,shamsi,burlesque,cobi,confidentiality,stephanie
adultery,+,tr,-,lobectomy,ranches,shamshi,kingship,slide
gallons,+,hakim,-,häkkinen,cubic,pinoy,starry,horsepower
prerogatives,+,divorced,-,glitzy,motorsport,excommunicated,tackled,revived
sellout,+,reefs,-,cornea,tunis,cliffs,roosts,dreamer
ranadev,+,diversionary,-,earners,sshws,hương,wolff,mcteague
pennine,+,sake,-,messier,transforms,pennines,sweetest,simmons
wes,+,krest,-,petits,ramirez,mcleod,esters,sukumar
terracing,+,publication,-,furman,reopening,gondola,investigation,implementation
julianne,+,grantland,-,renowned,hina,r.r,freitas,764
comedies,+,detracted,-,gametophyte,reg,polite,deviate,drooped
pike,+,sekai,-,tilson,co.,xn,guerre,futari
summer,+,prospered,-,nieces,emmy,munich,spring,mains
1984,+,wrecked,-,reflective,1863,omonia,1920,1935
tarsi,+,recommending,-,honour,regressive,condescending,curtin,stipulating
cường,+,configurations,-,minka,thunderbird,functions,tallest,unanimously
kommando,+,1552,-,bracing,1406,1809,illyrian,hallway
tni,+,rajoelina,-,yamhad,minyue,seminary,sippy,sabbat
provides,+,guto,-,gaming,ledges,selects,enters,affects
profitable,+,phoneme,-,rothenberg,organise,plausible,productive,hauls
recent,+,methanol,-,pragmatic,tadeusz,593,mating,births
loophole,+,downward,-,xích,pneumonia,respite,grenade,correspondent
eddie,+,sonya,-,avenged,sensitivity,usman,dias,quentin
abelard,+,workhouse,-,thirds,1232,rectum,fugue,cabin
wrinkle,+,shuffling,-,ellipsoid,öl,modest,barbershop,lobotomy
spoke,+,advantage,-,morricone,centerline,objection,touches,acceptance
exam,+,potty,-,licked,jaffa,bavarian,induces,bearing
hypothetical,+,auditorium,-,acropolis,shrub,hitsugaya,lavish,sein
krabby,+,oblivion,-,mets,nh,shrewd,croghan,distasteful
madsen,+,mule,-,graphical,novorossiysk,lucullus,lees,louisa
cavanaugh,+,bălcescu,-,immunities,armstrongs,reg,coolidge,grau
bartlet,+,amon,-,cabbage,hueneme,trinsey,lichtenstein,vern
concessional,+,blind,-,courtship,toppling,kumara,convinces,architecturally
haugesund,+,murphy,-,riddance,mead,courier,jeffery,alexandra
bibcode,+,shi,-,southborough,820,iast,char,compass
introns,+,obviously,-,bostock,gonzalez,infinitely,remarkably,absolutely
fauchet,+,surveillance,-,cocktail,conjoined,gannon,scratchley,ineptitude
proven,+,wanderings,-,casterman,uninspired,manifestly,1370s,fabricating
kristy,+,attests,-,freetown,servers,chime,fix,scotty
snohomish,+,occurrences,-,aircrews,weimar,widnes,mews,akhenaten
receptacle,+,endangered,-,finder,mikey,xenon,abundant,carbonate
workington,+,482,-,persevered,raeburn,444,الله,ch
kidneys,+,ringo,-,bhutan,spraying,pompeo,affections,agent
stirk,+,ministered,-,consequence,boku,obliged,immigrate,absorb
eloquent,+,finn,-,grin,legitimately,hornberger,shandong,uncomplicated
siegel,+,takaya,-,palestine,118th,lachapelle,janetti,thelonious
predicting,+,lupton,-,autograph,705,insists,casually,referential
rolfe,+,kartvelian,-,accumulation,romulus,carré,enrique,blinds
veidt,+,fliegerkorps,-,cataracts,thieves,hays,ranavalona,hawking
guideline,+,villa,-,together,convenience,tv2,manse,catastrophe
posse,+,194a,-,defeated,shingle,413,cooder,kitsu
vapor,+,russian,-,mileage,assaulting,cromwellian,confederate,firing
undermined,+,rorschach,-,río,pretend,embarrassed,sterility,polytron
connect,+,shiki,-,lutheran,ascendancy,sama,refer,addicted
alexandrine,+,salons,-,colonized,danko,omar,cher,professors
colbert,+,festively,-,selma,pommel,mrna,juarez,explanatory
incana,+,poti,-,commedia,thrower,cilacap,falmouth,darts
demure,+,bosi,-,schrey,obesity,playground,merovingian,cartoonish
moaning,+,698,-,addictive,hunslet,514,127,karmal
exploited,+,under,-,fended,racial,embarrassed,denied,offered
senna,+,mitsoda,-,fountain,֫,steffy,jewell,schembechler
tarradell,+,conditioned,-,kurrle,pambis,proportion,mycelia,strains
boyarsky,+,contracts,-,havre,plotline,genie,filters,bridges
soy,+,snsk,-,seaport,autographed,rené,ulrich,rosenfield
bequeathed,+,verge,-,sire,bi,horrors,insist,expound
kayaks,+,apostolidès,-,pwg,capitalist,prisms,compound,suffragist
arlott,+,mansfield,-,wealthier,spender,holt,liu,île
semigroup,+,vervliet,-,randomized,minting,futterman,confucian,387
ctenophore,+,weert,-,martín,hibernia,hallucinogenic,geraldton,cilia
gladiatorial,+,booksellers,-,occupied,entrainment,latrobe,morecambe,prevent
tendencies,+,spitfire,-,demos,phellodon,pacino,diplomat,remorseless
rescued,+,wbo,-,guiana,crippled,⟦,interviewed,hampered
reelection,+,chiropractors,-,try,conductivity,vitro,ballinrobe,chuuk
clifford,+,clayton,-,unlawful,horace,stephens,kirk,stephan
wikimania,+,facto,-,minogue,solidify,côte,taça,premio
ultratop,+,regulament,-,dispensaries,gigantic,penthouse,55th,astros
transformer,+,degrade,-,superieure,dispersing,summon,explain,claim
guizhou,+,rochdale,-,symphonic,terceira,ipswich,norway,fuji
scrutinize,+,goffman,-,familiars,1216,emulate,fulfil,dedicate
creighton,+,shortages,-,infrequently,christina,premiership,protectionist,536
laughing,+,vie,-,petr,prostate,'t,'brien,roadrunner
dashboard,+,worried,-,spatial,subscriber,recounted,reminds,realises
keys,+,woolen,-,shipbuilders,euston,smoky,chicane,stress
suzanne,+,clog,-,freya,bravado,augustin,delimit,reprised
occasional,+,myles,-,und,uniqueness,racism,interviews,deadlines
lindholm,+,dnc,-,pandya,bengali,ecosoc,schwartzberg,317
kvow,+,palaearctic,-,suarez,toya,dreamtime,encircling,guys
spurred,+,archdemon,-,doses,monogamous,unrecognised,trademarked,infiltrates
mid,+,shades,-,longchamp,gamma,micro,reprinting,context
reintroduced,+,mosquitoes,-,douglass,manutius,crewmembers,inundated,crows
neutralise,+,100,-,credibility,fluorescence,415,200,totaled
reinforce,+,bundy,-,mustered,attempted,montalban,newton,thorwald
existence,+,moorish,-,geo,unsolved,bengal,pursuit,fate
aws,+,bonnor,-,incidental,permanence,c15,flukes,dalai
regionals,+,hinckley,-,clamped,nazerine,haque,curd,892
walternate,+,dispatches,-,shodan,spitzer,rex,betrayal,silvetti
generous,+,duarte,-,electronic,welcomed,berhtwald,distraught,annexed
shawn,+,swells,-,lynx,ants,mazzacane,currents,sundays
amok,+,plague,-,struggles,thou,fugit,hello,dreamtime
pedagogical,+,schnaubelt,-,staunch,narcotics,inaccuracies,alapalooza,qui
blacknose,+,monoxide,-,uns,wta,contamination,mu,steering
sunnydale,+,criminal,-,33,criterion,hampering,constitutional,ceiling
tromsø,+,emancipation,-,'arianna,jma,angola,brakes,mercenaries
uninjured,+,ingest,-,verdicts,ferrars,unexplored,incite,whitehouse
misleading,+,suzie,-,peregrines,marauders,bungie,khoo,seniority
1679,+,srinivasa,-,placebo,earthrealm,1672,participates,emilia
newark,+,tellico,-,hindquarters,halpert,greenwich,allegany,situ
trenchard,+,width,-,guinan,666,tenths,gondwana,corrections
submachine,+,jaume,-,denver,baltasar,vitti,encompassing,kumar
ethnically,+,bascule,-,rsk,creamy,eccentric,watcher,amidst
spikes,+,j.h,-,mutants,polite,houi,chawla,respectively
offering,+,quico,-,sic,intertropical,jewelry,introducing,comprehensively
euskadi,+,shōnagon,-,remedied,untitled,jérémy,disrespect,cannondale
srpska,+,toast,-,cheirogaleus,watchlists,huffington,backfield,republika
cropped,+,3mc,-,trident,photocopier,horribly,breaker,vigorously
islet,+,249,-,privatized,murshidabad,73,chiapas,continent
suitor,+,sparked,-,synths,trophies,guideline,addict,template
musings,+,filipino,-,sean,gallatin,allegory,catacombs,tale
newman,+,proprietary,-,celled,imagery,coolidge,treasury,periscope
gypsum,+,pea,-,stroke,resents,bae,vegetable,earthworms
categorised,+,contiguous,-,imagining,sidelined,boreal,equipped,recognized
viscosity,+,kiska,-,milder,etonians,nek,campeche,scots
southborough,+,escaped,-,euler,intoxicated,regroup,sloped,parted
guts,+,anhui,-,geopolitical,materialize,brest,immersed,dabbled
ups,+,cessna,-,cheeky,paleo,berk,cleopatra,commanders
glencairn,+,timon,-,trippy,rafales,aldwych,serbia,alba
transcriptions,+,miserable,-,baryogenesis,chewing,kiddy,shutdown,megastore
nebulosa,+,adheres,-,disbandment,unwed,mistakenly,correspond,agrees
congestion,+,alla,-,fixation,hooijdonk,ripon,towson,rotherham
censorial,+,kramer,-,pride,schweizerische,invades,prpić,alongside
revolved,+,larval,-,collapse,hospice,stubby,revolving,052
hungarian,+,sneaking,-,fitch,niclausse,dunkerque,parliamentary,security
expressionist,+,interpolated,-,maidens,gaon,grabar,trekking,soaps
postmaster,+,malay,-,altered,tramway,spokesman,soulcalibur,gums
castles,+,scars,-,joystick,skirmishes,proportions,accounts,periods
superior,+,flooring,-,indiscriminate,ta,poodle,contractual,weir
appreciable,+,dissertations,-,chores,lordships,cultivated,psychiatry,merges
pva,+,cw,-,davar,deepest,overthrowing,celtics,deactivation
conspiratorial,+,surveys,-,biochemical,frænkel,rosyth,espn,tyres
grantees,+,families,-,michel,kubicek,cabs,mandibles,reinstatement
886,+,musicals,-,jumper,southeasterly,foals,212,113
owing,+,transforming,-,596,plagued,oversee,circumvent,recover
marquis,+,goldeneye,-,missaukee,hazelton,institut,césar,sensuality
sbc,+,perched,-,released,krautrock,roosting,ceres,inscribed
čilić,+,caudillo,-,antelope,sacs,wolverhampton,göttingen,974
wreaking,+,fairhaven,-,sunflowers,walford,macquarie,ø,cormorants
ecstatic,+,assumes,-,hatred,properly,retroactively,establishes,marries
smog,+,miscommunication,-,radama,.38,ponds,cusps,mods
delegated,+,greek,-,explosive,nigerian,ambassadors,scottish,awakened
deduction,+,foreshore,-,receivers,inchon,underside,aws,parcel
todo,+,rotating,-,253,viceroy,fairytale,signifies,mullah
bilbao,+,dooku,-,safe,boku,serena,molson,shenley
millcreek,+,professional,-,keemia,stunned,teams,hockey,notts
competing,+,knees,-,citizen,conferred,seabirds,assisting,funding
jaworski,+,lovin,-,bharat,nzef,spunky,dreyfuss,scared
retrieval,+,welding,-,sonics,backhand,cohesive,hindus,pietro
hap,+,galaxies,-,poer,witnessing,pahs,sticks,infections
authored,+,connect,-,form,wish,penned,confronted,encouraged
a9,+,failures,-,basin,goossens,viewpoints,morals,dancers
ש,+,hitchhiker,-,gushing,phips,piero,buggy,vaulted
habitually,+,331,-,dianic,compagnie,198,dimmitt,pascual
moshe,+,jeffersonville,-,nestlings,subtribe,oglesby,slobodan,alfredo
passwords,+,herculaneum,-,magnets,lei,wisely,coleraine,gillingham
recuperated,+,reluctance,-,goc,relaxation,serah,prosper,aide
mca,+,honeydew,-,anita,hibernation,congregations,births,elector
poqomam,+,unavoidable,-,robberies,duga,untrue,iloo,tagora
coupling,+,keynes,-,volumes,rout,kuros,bernardii,namely
oregonian,+,holden,-,trakai,lem,handlen,vulture,sepulchre
showcase,+,kỳ,-,emile,adorned,remedy,wooing,dismay
divide,+,deseret,-,chopped,consecration,anthropological,bosporus,eyeball
armistice,+,slugging,-,honshu,leukemia,creeping,mll,airdate
solely,+,drooping,-,calamine,prophet,targeted,pounded,minesweeping
delights,+,eased,-,incorporated,evasion,punishments,oisin,nils
akizuki,+,kuril,-,security,boku,nahiya,910,sw
decompressed,+,urging,-,eater,astonished,kekionga,stationed,resolving
dorn,+,allbritton,-,mosh,weakest,sima,mongaensis,subscription
verity,+,reemerged,-,filmography,dunand,carys,machismo,oxfam
patches,+,masthead,-,ridley,asunción,cytoplasm,masses,devastation
701,+,wba,-,travancore,forester,958,1000,grooved
ao,+,ramsbury,-,eklund,lazenby,soot,corrections,snapshots
stub,+,surcouf,-,knights,erzherzog,whisky,cavanagh,wholly
climbing,+,michiel,-,changeover,hercules,coubertin,orta,monash
vishnuvardhana,+,alternating,-,casino,topless,aforesaid,machismo,motorised
rheims,+,pitching,-,weld,nylund,twickenham,solfège,verulamium
tsunami,+,homeward,-,scares,rockabilly,milestones,unfunny,haunting
troupes,+,tully,-,fodder,swain,stoller,guin,asociación
sociology,+,quashed,-,caverns,lew,enshrined,misleading,oestrus
apache,+,lockerbie,-,governors,nahuatl,exhorted,lanai,forma
1932,+,budget,-,praised,weighing,1750,1826,gpa
rpgamer,+,post,-,revered,korsakov,kwik,buczynski,resignation
vafþrúðnir,+,pointedly,-,kariya,boku,realises,explodes,tends
cuevas,+,routines,-,157,imperially,facto,enriquillo,incited
wiring,+,fabrics,-,experience,buds,honeydew,bihar,arundel
deposing,+,unseat,-,pa,fissile,overrule,splice,minimize
beauforts,+,lechuck,-,duleep,fiesta,gershon,kilgrave,abdul
pelted,+,jervois,-,val,evgeny,breads,interacting,waging
reconvened,+,bait,-,lowermost,gibron,tryouts,antennas,depends
artefact,+,fainting,-,1166,islais,computations,schooner,selous
breathtaking,+,latex,-,seize,dyke,bildungsroman,detoxified,augustin
visitor,+,sekai,-,victories,debacle,vg,savant,democrat
excise,+,suns,-,concert,preoccupation,haitians,odors,triassic
fictionalized,+,checked,-,hushovd,minimum,garbled,evaluated,modified
loyola,+,authorizing,-,lesser,carousel,woodrow,marino,brainard
frs1,+,peleliu,-,irv,untreated,ixil,consequent,rifling
faeces,+,academic,-,699,amnesia,discernible,cqc,optional
suspense,+,therapist,-,intercolonial,wolff,stripper,perseverance,hunt
clarendon,+,telescope,-,if,matamoros,honus,indecision,fortress
435,+,stratum,-,npf6,asker,922,922,superfamily
darius,+,slums,-,merchantman,melt,barranquilla,1005,1232
directions,+,agrarian,-,reparation,compression,rites,technologies,airfields
tryout,+,spaceship,-,manatee,outraged,bullpen,resemblance,refreshing
summation,+,isagoras,-,discharge,chibás,maund,auspices,paleontology
newmarket,+,lakeland,-,wintered,systemic,elland,reparaz,lg
haque,+,1rar,-,depletion,ultimecia,macmillan,syfret,1355
malaysian,+,valverde,-,deployed,plagiarism,mating,weiner,cowboy
bolsheviks,+,when,-,zap2it,thee,launched,foreshadowed,majdanek
opatija,+,metamorphosed,-,legacy,degenkolb,destabilized,hurdling,oranges
sincere,+,ewart,-,darkest,conde,russ,hampson,beryl
bassoon,+,jim,-,carvings,sead,serena,carter,rubinstein
reptiles,+,manche,-,panky,disqualified,iberia,behaviours,harbour
shelves,+,prawns,-,anjouan,angled,brevity,tweeter,gilded
injections,+,lancastrian,-,1566,estación,globalization,suspected,multiples
parable,+,pleiku,-,finalists,kellex,beebe,sensationalism,eskimos
fatality,+,validly,-,cma,poop,embarrassed,bonds,evita
teaches,+,roddenberry,-,mdot,adorned,captivating,proves,ceases
economically,+,atm,-,respecting,motorcycles,tg,experiment,unload
symington,+,chaloners,-,grady,prokofiev,battlecruisers,galton,regrow
(,+,theodosius,-,stoller,950,~,valkyria,-long
sweetest,+,1277,-,rickey,kappa,epoch,parrot,anagram
bray,+,pleiku,-,sauber,'amore,pagnell,179,kroll
1741,+,antibiotic,-,gastric,greenville,1175,1794,teotihuacan
displace,+,rally,-,identities,amounting,¾,cater,contributes
consideration,+,swordsman,-,generally,sine,abbreviation,revision,sideboard
racks,+,cameras,-,insides,planting,tariffs,hors,parmenter
syrmia,+,pans,-,dictatorship,ag2r,halmahera,dwell,climates
stamps,+,frankie,-,simulants,deluxe,sociologist,th,flatts
troublemaker,+,brethren,-,kohl,analyst,1160s,flock,counteroffensive
proceeding,+,barbeyella,-,climb,governesses,vasa,gommans,bearings
pathogenic,+,interactive,-,leakage,chetniks,rewriting,improvisational,recognizing
vanuatu,+,c,-,grew,209,945,fig,fig
narwa,+,ghastly,-,surrounding,boku,hush,crazy,yo
beauvoir,+,1882,-,gelderland,lobectomy,1777,1619,1221
punts,+,unwise,-,formbys,fatah,accessed,treknation,malta
regalia,+,willimon,-,charade,furlong,hume,freud,airships
thom,+,pleasant,-,dull,lucia,clayton,veselin,matted
suspect,+,1480,-,-ma,splicing,lomonosov,recur,select
sexist,+,several,-,fosdick,recruitment,culinary,many,thakur
asiaticus,+,palms,-,bayonet,brideshead,areolatum,caesium,odoratus
vesicles,+,terriers,-,dikes,ticker,terrier,disorienting,exuberant
wreaths,+,reo,-,keeps,amamiya,vesta,oahu,constantinople
cocaine,+,revenue,-,variability,dash,whisper,debts,jos
dualshock,+,smackdown,-,outlawing,directs,aichi,#,perkins
singapore,+,blatantly,-,concurred,294,restructuring,zurich,posing
gillingham,+,watercolours,-,takako,lacchi,antsirabe,nueva,tonne
trailhead,+,hueneme,-,mateo,boku,expire,decompose,oswegatchie
rubinstein,+,iconographical,-,cine,misleading,shatner,uncertain,diaphragm
quong,+,lanier,-,mints,soup,meyer,samson,dennis
williamson,+,snes,-,policies,oricon,savant,kersh,eulemur
ptv,+,weasels,-,reentering,shaoguan,thou,sacirbey,623
howard,+,kamui,-,artefact,vodka,fereday,sam,samuel
'easter,+,weir,-,759,sarcophagus,somervell,jenner,classroom
greenville,+,stile,-,kinship,portraiture,maillardville,pierce,ensued
eclecticism,+,leftovers,-,séez,kuznetsov,hydrocarbons,nerves,parameters
weirdness,+,ironic,-,approximation,turnersville,pandemonium,ruby,farrar
owe,+,worst,-,overthrow,scatter,ain,showcased,authorising
waterfall,+,unix,-,broek,itzá,parallelograms,pontoon,usumacinta
apc,+,globemaster,-,sanjay,loopholes,kv,sacraments,auden
transits,+,theosophical,-,tórshavn,starveling,manifestations,polymers,anthropological
purana,+,kuyt,-,stretches,ratte,christiansen,governess,sabha
svaars,+,indus,-,vomiting,lebron,heathen,bypass,attribute
amida,+,troopships,-,sharpe,couture,bridgeheads,flights,hubbardton
asymptomatic,+,aquarium,-,shoop,enmity,environmentalists,uncensored,almina
gordie,+,syme,-,miracles,erzherzog,schlesinger,cnidaria,margus
kissed,+,hope,-,unopened,noticeably,overcomes,realized,precisely
verde,+,competent,-,outraged,hypotenuse,finisterre,marshy,ccm
withstand,+,garage,-,billy,merge,construct,roam,repay
subtext,+,lung,-,anglers,pulaski,colorectal,ragged,lemur
endnotes,+,hostile,-,valkyria,dissertations,unexplainable,dispersed,flown
rebuilt,+,bounties,-,1221,polytron,selectively,cleared,honored
truro,+,isil,-,exceptionally,voss,fulham,emmanuel,j.m
1592,+,tramway,-,amagi,chopping,meantime,scoreboard,vandals
rigel,+,heisler,-,rehearsed,kellaway,hibbert,soroeta,diphtheria
knack,+,canso,-,penrose,shady,roundabouts,deliberations,patents
pall,+,kurds,-,advocates,grieved,deversoir,karmal,lungs
pearce,+,robins,-,aluminum,gimmick,leng,lucy,stevedores
subspaces,+,nightmarish,-,yesterday,boku,consumption,palmyrene,predate
loyalist,+,capitalist,-,sicily,everett,imperialist,commits,suckling
arne,+,inherited,-,beds,celine,johan,contacted,approached
pauline,+,writ,-,uncultivated,natured,cartwheel,intamin,wheel
blur,+,virgins,-,needs,ferries,waddington,fister,lifesong
sausage,+,rossdale,-,330,donning,hugs,pianist,rejecting
airship,+,overfishing,-,sow,reliever,1297,apoptosis,helicopters
jewels,+,disowned,-,abruptly,exhaled,portmanteau,composite,excluding
brenton,+,loosely,-,norm,dibiase,maudette,serrano,emphatically
pepe,+,pigeye,-,speer,secularism,blacknose,hf,syndicate
dying,+,endeavors,-,1753,.50,instincts,blessed,immortality
robotic,+,742,-,ljubljana,hugely,sb,b,seyfert
marching,+,79,-,capitals,4,740,woking,baibars
kinzer,+,1701,-,cel,snape,1820,betaine,naylor
danton,+,abelian,-,continual,impulsively,juarez,unmarked,overwhelmed
booklist,+,abundantly,-,maryanne,kelbajar,ewes,taeko,musicomh
scholastic,+,bowes,-,escaped,translators,npr,boxleiter,macclesfield
should,+,silverware,-,martini,cartridges,pinpoint,would,642
pby,+,pnt,-,flirting,erzherzog,mig,kgf,ugartechea
summarizes,+,seminoles,-,ensign,refund,anshei,overshot,outflank
tokyo,+,alleviated,-,plass,morales,harmoniously,rooms,wheelchair
fordyce,+,giri,-,flu,boku,beans,cottages,saul
ayresome,+,1673,-,phenotypes,abdication,1748,marojejy,crisfield
lutz,+,inline,-,incompatible,kappa,salling,erc,ectopistes
bhp,+,norms,-,rafale,biomedical,whales,representations,bottles
clarinet,+,amusing,-,orne,thrilled,spunky,addictive,drinkwater
keir,+,currently,-,blinded,longview,troy,loren,extraordinarily
reels,+,laramie,-,buddhism,mutinus,parlophone,¾,stikine
sis,+,cheating,-,transition,ringers,mama,mcgwire,characterizes
